route_id,trip_id,stop_id,stop_name,closest_arrival_time,real_arrival_time,diff_mins,current_time,current_date
3A,1427020,1198,Portola Dr & 18th Ave,10:41:31,10:49:01,7.5,10:28:42,2024-07-18
3A,143020,1198,Portola Dr & 18th Ave,11:12:50,11:45:17,32.45,11:25:02,2024-07-18
3A,1298020,1726,River St S. & Soquel Ave,12:43:00,2024-07-18 12:43:22,99999,12:41:45,2024-07-18
3A,1298020,1726,River St S. & Soquel Ave,12:43:00,2024-07-18 12:43:22,99999,12:42:03,2024-07-18
3A,1298020,1726,River St S. & Soquel Ave,12:43:00,2024-07-18 12:44:03,99999,12:42:34,2024-07-18
3A,1298020,1726,River St S. & Soquel Ave,12:43:00,2024-07-18 12:45:38,99999,12:43:37,2024-07-18
3A,1298020,1726,River St S. & Soquel Ave,12:45:00,12:45:38,99999,12:44:25,2024-07-18
3A,99999,1660,Capitola Mall - Lane 2,13:00:00,99999,99999,12:57:52,2024-07-18
3A,99999,1594,Front & Soquel Ave,12:57:00,99999,99999,12:58:41,2024-07-18
3A,831020,1594,Front & Soquel Ave,13:01:00,99999,99999,13:00:27,2024-07-18
3A,831020,1594,Front & Soquel Ave,13:01:00,99999,99999,13:00:48,2024-07-18
3A,831020,1594,Front & Soquel Ave,13:01:00,99999,99999,13:02:20,2024-07-18
3A,831020,1594,Front & Soquel Ave,13:01:00,99999,99999,13:04:25,2024-07-18
3A,1298020,1391,38th Ave & Reposa (Blue & Gold),12:54:36,13:04:51,99999,13:04:38,2024-07-18
3A,99999,1391,38th Ave & Reposa (Blue & Gold),12:54:36,99999,99999,13:07:04,2024-07-18
3A,125020,1659,Capitola Mall - Lane 1,13:10:00,99999,99999,13:11:49,2024-07-18
3A,99999,1660,Capitola Mall - Lane 2,13:15:00,99999,99999,13:11:59,2024-07-18
3A,125020,1659,Capitola Mall - Lane 1,13:10:00,99999,99999,13:12:24,2024-07-18
3A,125020,1659,Capitola Mall - Lane 1,13:10:00,99999,99999,13:12:28,2024-07-18
3A,125020,1659,Capitola Mall - Lane 1,13:10:00,99999,99999,13:13:15,2024-07-18
3A,125020,1400,Portola Dr & Corcoran Ave,13:06:18,13:36:50,99999,13:16:29,2024-07-18
3A,125020,1400,Portola Dr & Corcoran Ave,13:36:50,13:36:50,0.0,13:24:57,2024-07-18
3A,125020,1400,Portola Dr & Corcoran Ave,13:36:50,13:36:50,0.0,13:25:26,2024-07-18
3A,125020,1400,Portola Dr & Corcoran Ave,13:36:50,13:36:50,0.0,13:28:53,2024-07-18
3A,99999,1400,Portola Dr & Corcoran Ave,13:36:50,99999,99999,13:47:07,2024-07-18
3A,99999,1400,Portola Dr & Corcoran Ave,20:35:18,99999,99999,20:49:10,2024-07-18
