route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,3,46020,Soquel/Cabrillo/Airport,,1,69201102,shp-1-08,1,1
1,2,66010,Soquel/Cabrillo/Airport,,1,69234701,shp-1-08,1,1
1,3,1055020,Soquel/Cabrillo/Airport,,1,69201202,shp-1-09,1,1
1,3,1242020,Soquel/Cabrillo/Airport,,1,69201002,shp-1-09,1,1
1,2,552010,Soquel/Cabrillo/Airport,,1,69235901,shp-1-08,1,1
1,3,222020,Soquel/Cabrillo/Airport,,1,69200402,shp-1-07,1,1
1,3,328020,Soquel/Cabrillo/Airport,,1,69201302,shp-1-09,1,1
1,2,1279010,Soquel/Cabrillo/Airport,,1,69235901,shp-1-08,1,1
1,3,1030020,Soquel/Cabrillo/Airport,,1,69201102,shp-1-08,1,1
1,3,891020,Soquel/Cabrillo/Airport,,1,69200402,shp-1-08,1,1
1,3,87020,Soquel/Cabrillo/Airport,,1,69200802,shp-1-09,1,1
1,2,212010,Soquel/Cabrillo/Airport,,1,69231501,shp-1-07,1,1
1,2,389010,Soquel/Cabrillo/Airport,,1,69234301,shp-1-08,1,1
1,3,709020,Soquel/Cabrillo/Airport,,1,69200002,shp-1-09,1,1
1,2,115010,Soquel/Cabrillo/Airport,,1,69235901,shp-1-08,1,1
1,3,1002020,Soquel/Cabrillo/Airport,,1,69200802,shp-1-08,1,1
1,2,620010,Soquel/Cabrillo/Airport,,1,69234401,shp-1-08,1,1
1,2,1223010,Soquel/Cabrillo/Airport,,1,69235701,shp-1-09,1,1
1,3,880020,Soquel/Cabrillo/Airport,,1,69201002,shp-1-08,1,1
1,2,368010,Soquel/Cabrillo/Airport,,1,69234401,shp-1-09,1,1
1,2,1006010,Soquel/Cabrillo/Airport,,1,69234501,shp-1-09,1,1
1,2,1154010,Soquel/Cabrillo/Airport,,1,69235501,shp-1-08,1,1
1,3,954020,Soquel/Cabrillo/Airport,,1,69201002,shp-1-09,1,1
1,2,563010,Soquel/Cabrillo/Airport,,1,69234601,shp-1-08,1,1
1,3,621020,Soquel/Cabrillo/Airport,,1,69200802,shp-1-08,1,1
1,2,83010,Soquel/Cabrillo/Airport,,1,69234701,shp-1-09,1,1
1,2,726010,Soquel/Cabrillo/Airport,,1,69235301,shp-1-09,1,1
1,3,315020,Soquel/Cabrillo/Airport,,1,69199902,shp-1-09,1,1
1,2,480010,Soquel/Cabrillo/Airport,,1,69234401,shp-1-09,1,1
1,2,1086010,Soquel/Cabrillo/Airport,,1,69234401,shp-1-09,1,1
1,3,406020,Soquel/Cabrillo/Airport,,1,69199802,shp-1-09,1,1
